epoch,main_prior_rmse_m,main_cv_rmse_m,main_improvement_pct,candidate0_prior_rmse_m,candidate0_cv_rmse_m,candidate0_improvement_pct,candidate_nonzero_prior_rmse_m,candidate_nonzero_cv_rmse_m,candidate_nonzero_improvement_pct,aux_prior_rmse_m,aux_cv_rmse_m,aux_improvement_pct,gap2_prior_rmse_m,gap2_cv_rmse_m,gap2_improvement_pct,gap4_prior_rmse_m,gap4_cv_rmse_m,gap4_improvement_pct,alpha_utilization,gate_applied_rate,gate_precision,helpful_rate,correction_norm_m,clip_rate,observation_error_m,prior_box_error_m,final_error_m,prior_valid_rate,history_valid_ratio,aux_history_valid_ratio,prior_loss,aux_prior_loss,fused_loss,gate_loss,actual_alpha_mean
35,0.376147,0.406754,7.524714,0.348917,0.377916,7.673615,0.384853,0.415983,7.483515,1.179646,1.377436,14.359266,0.673746,0.765606,11.998346,1.571489,1.845214,14.83432,0.536015,0.575825,0.574218,0.484873,0.034275,0.069161,0.240834,0.267714,0.23237,0.903328,0.902024,0.785146,0.022062,0.154122,0.031623,0.658695,0.268007
36,0.367822,0.397889,7.556849,0.369058,0.391853,5.817091,0.367411,0.399869,8.117051,1.189403,1.39137,14.515655,0.701275,0.788505,11.062682,1.568703,1.850835,15.24351,0.527764,0.548993,0.56711,0.471066,0.033733,0.067376,0.242786,0.26932,0.234596,0.907141,0.905788,0.787919,0.0218,0.15557,0.032165,0.658741,0.263882
37,0.370478,0.402134,7.871997,0.364894,0.389565,6.333031,0.372325,0.406246,8.349943,1.200579,1.406607,14.647167,0.676822,0.767454,11.809459,1.601502,1.888414,15.193284,0.525186,0.543074,0.572679,0.473778,0.033122,0.068213,0.238308,0.267211,0.230589,0.904814,0.903163,0.785872,0.021804,0.156651,0.031121,0.655376,0.262593
38,0.379113,0.409974,7.527481,0.3823,0.409357,6.609549,0.378036,0.410181,7.836925,1.232095,1.437064,14.262998,0.716818,0.803464,10.784006,1.630057,1.917107,14.973097,0.524509,0.54952,0.559883,0.462929,0.033238,0.069305,0.239725,0.26959,0.231537,0.904566,0.903328,0.786533,0.022416,0.1613,0.029908,0.655589,0.262254
39,0.362537,0.393628,7.898476,0.3535,0.382214,7.512551,0.365503,0.397363,8.017937,1.182782,1.381934,14.411073,0.677454,0.765202,11.467383,1.574866,1.852796,15.000552,0.527907,0.556652,0.567634,0.473452,0.03356,0.069293,0.240116,0.268038,0.23198,0.902882,0.901842,0.784618,0.021404,0.154874,0.030327,0.657004,0.263953
40,0.376933,0.406162,7.196365,0.379453,0.404531,6.199464,0.376104,0.406695,7.521989,1.167622,1.379802,15.377589,0.688058,0.775648,11.292493,1.538288,1.836174,16.223224,0.524951,0.54465,0.549596,0.454865,0.03317,0.069835,0.237932,0.270713,0.230535,0.903328,0.902272,0.783611,0.022191,0.154218,0.030137,0.656108,0.262475
41,0.364118,0.396913,8.262587,0.356819,0.382571,6.731355,0.366528,0.401599,8.732761,1.190473,1.401457,15.05463,0.701474,0.788119,10.993876,1.573366,1.87089,15.90283,0.518234,0.497702,0.538186,0.439399,0.031544,0.063982,0.23269,0.268169,0.226679,0.903526,0.902503,0.785608,0.021364,0.156516,0.030265,0.654164,0.259117
42,0.376078,0.407117,7.624064,0.358204,0.384991,6.957719,0.381879,0.414266,7.817788,1.204448,1.407085,14.401182,0.69326,0.784205,11.597147,1.599144,1.880646,14.968326,0.519319,0.502624,0.531377,0.436423,0.031747,0.067886,0.232749,0.270342,0.226463,0.906745,0.905078,0.786978,0.02221,0.155827,0.02871,0.655902,0.25966
43,0.367342,0.398096,7.725442,0.364214,0.38995,6.600021,0.368377,0.400772,8.083013,1.204435,1.39812,13.853266,0.685804,0.774798,11.486163,1.603028,1.871041,14.324256,0.519237,0.505912,0.523046,0.427476,0.031283,0.064165,0.231286,0.268124,0.225513,0.905953,0.904517,0.786978,0.021721,0.156503,0.028938,0.657795,0.259618
44,0.3796,0.411248,7.695669,0.36511,0.390878,6.592286,0.384333,0.417852,8.021712,1.207275,1.42181,15.088861,0.713002,0.801951,11.091615,1.594425,1.896523,15.929035,0.51722,0.494928,0.523468,0.424171,0.031319,0.064837,0.231921,0.269088,0.225807,0.905309,0.904335,0.787606,0.022419,0.160692,0.028908,0.654922,0.25861
45,0.371987,0.404063,7.938303,0.391309,0.41611,5.960229,0.36539,0.40001,8.654738,1.177884,1.381624,14.746414,0.709713,0.804587,11.79163,1.54681,1.828618,15.410962,0.517906,0.505767,0.531444,0.43301,0.031427,0.067359,0.234474,0.268918,0.228075,0.902882,0.90176,0.782224,0.02191,0.154345,0.030162,0.655913,0.258953
46,0.374994,0.405049,7.420155,0.386054,0.4107,6.000882,0.371215,0.403138,7.918657,1.184356,1.390149,14.803674,0.747676,0.831979,10.132744,1.541204,1.833681,15.950294,0.516949,0.504116,0.52855,0.435836,0.031197,0.065136,0.231943,0.268961,0.225776,0.903031,0.902139,0.784073,0.022042,0.156379,0.029355,0.660049,0.258474
47,0.365637,0.396765,7.845413,0.356381,0.382711,6.879833,0.368707,0.401394,8.143493,1.170662,1.3738,14.786561,0.67283,0.761475,11.641219,1.555323,1.838803,15.416554,0.517777,0.512958,0.52805,0.427492,0.031615,0.065606,0.230908,0.267919,0.225095,0.903873,0.902882,0.785014,0.021408,0.154894,0.028507,0.65296,0.258889
48,0.362484,0.39405,8.010627,0.36699,0.39619,7.370112,0.360979,0.393338,8.226898,1.195442,1.402963,14.791637,0.709911,0.800198,11.283058,1.57181,1.861016,15.54025,0.513989,0.494357,0.518144,0.421221,0.031323,0.064867,0.231254,0.268117,0.225546,0.903378,0.902371,0.785757,0.021599,0.157452,0.028608,0.649787,0.256994
49,0.3694,0.400367,7.734871,0.353445,0.38,6.988058,0.374556,0.406916,7.952639,1.178759,1.378466,14.487602,0.726573,0.813876,10.726853,1.542169,1.822294,15.372064,0.511515,0.491223,0.528948,0.433661,0.031117,0.063075,0.233325,0.268515,0.227193,0.90417,0.9028,0.785278,0.021917,0.154736,0.031016,0.656374,0.255758
50,0.384977,0.416529,7.575025,0.391124,0.422608,7.449991,0.382901,0.414478,7.618508,1.188353,1.388888,14.438553,0.70231,0.793414,11.482506,1.572527,1.851734,15.078147,0.510927,0.500235,0.512784,0.430615,0.031594,0.066195,0.232248,0.270768,0.226237,0.903724,0.902486,0.784618,0.022773,0.156884,0.029585,0.660134,0.255464
51,0.370696,0.402342,7.865431,0.37209,0.401658,7.361484,0.370232,0.402569,8.032823,1.167735,1.375811,15.123826,0.687121,0.781381,12.063232,1.541363,1.829974,15.771295,0.511615,0.496093,0.530631,0.430957,0.031331,0.065087,0.230157,0.268273,0.22428,0.90313,0.901826,0.783446,0.021833,0.153266,0.028561,0.658559,0.255807
52,0.363652,0.393507,7.586857,0.351671,0.378471,7.081157,0.367608,0.398454,7.741406,1.169755,1.374794,14.914113,0.681315,0.77204,11.751332,1.548751,1.834295,15.566954,0.50798,0.488745,0.53703,0.432015,0.031253,0.064356,0.230994,0.267688,0.224868,0.904913,0.903576,0.787028,0.021485,0.154861,0.028372,0.654856,0.25399
53,0.375499,0.408735,8.131546,0.381506,0.410967,7.168682,0.37347,0.407987,8.460314,1.210651,1.410451,14.165708,0.699299,0.791235,11.619351,1.604904,1.881192,14.686875,0.510414,0.498198,0.537335,0.437048,0.03159,0.065691,0.232333,0.2695,0.226111,0.904616,0.903213,0.786351,0.022112,0.158784,0.028624,0.653434,0.255207
54,0.37987,0.410922,7.556701,0.359689,0.389597,7.676496,0.386324,0.417748,7.522208,1.163622,1.366671,14.857167,0.710546,0.800112,11.19412,1.522148,1.805516,15.69457,0.511371,0.48648,0.52116,0.42722,0.031525,0.066672,0.232219,0.269717,0.226159,0.904863,0.903361,0.786384,0.022429,0.155243,0.029359,0.657776,0.255685
55,0.366074,0.397944,8.008814,0.380298,0.406939,6.546813,0.361205,0.394898,8.532225,1.24182,1.442934,13.93784,0.71287,0.799104,10.791373,1.648992,1.930121,14.565348,0.510994,0.502645,0.524868,0.429712,0.031252,0.061872,0.229164,0.266842,0.223429,0.90412,0.903427,0.785575,0.021635,0.158815,0.029592,0.65474,0.255497
56,0.364231,0.397374,8.340426,0.375933,0.409439,8.183208,0.360231,0.393254,8.397517,1.195999,1.403344,14.775005,0.68912,0.777139,11.326013,1.584965,1.874859,15.462184,0.510446,0.493937,0.533478,0.434271,0.031147,0.064336,0.231197,0.266812,0.224993,0.904913,0.903625,0.785559,0.021296,0.155413,0.028599,0.653581,0.255223
57,0.366953,0.399323,8.106326,0.355742,0.386205,7.887816,0.370652,0.403646,8.173802,1.194885,1.400508,14.682019,0.695146,0.782164,11.125268,1.584291,1.872921,15.410696,0.511053,0.498065,0.529654,0.430659,0.031406,0.065263,0.229502,0.267971,0.223624,0.904616,0.90346,0.784849,0.021636,0.15604,0.029299,0.656699,0.255527
58,0.360629,0.392157,8.039707,0.359884,0.386601,6.910851,0.360876,0.393988,8.404191,1.22949,1.420381,13.439457,0.691936,0.778748,11.147607,1.638609,1.902759,13.88249,0.511212,0.494481,0.52127,0.423747,0.03126,0.066392,0.230116,0.267428,0.224244,0.905557,0.904484,0.787358,0.021532,0.157236,0.028994,0.658958,0.255606
59,0.370547,0.403187,8.095421,0.347915,0.374159,7.014176,0.377795,0.412416,8.39452,1.192418,1.402848,15.000244,0.707974,0.794459,10.88608,1.571716,1.868254,15.872462,0.510813,0.491147,0.549398,0.431326,0.031218,0.066401,0.231235,0.266852,0.225051,0.904021,0.903097,0.785014,0.021865,0.154944,0.028543,0.649589,0.255407
60,0.380351,0.411827,7.643072,0.383386,0.410073,6.507777,0.379331,0.412412,8.021508,1.173074,1.381769,15.103514,0.711562,0.798376,10.873827,1.53683,1.830503,16.04331,0.510578,0.495328,0.526551,0.425689,0.031373,0.067078,0.231605,0.271143,0.225816,0.904517,0.903427,0.786302,0.022497,0.154308,0.028562,0.65536,0.255289
